"year","jan_mean_flow","feb_mean_flow","mar_mean_flow","apr_mean_flow","may_mean_flow","jun_mean_flow","jul_mean_flow","aug_mean_flow","sep_mean_flow","oct_mean_flow","nov_mean_flow","dec_mean_flow","sep_oct_Q10_flow","jan_feb_max_flow","ice_days","sep_dec_max_flow","jan_mean_flow_rear","feb_mean_flow_rear","mar_mean_flow_rear","apr_mean_flow_rear","may_mean_flow_rear","jun_mean_flow_rear","jul_mean_flow_rear","aug_mean_flow_rear","sep_mean_flow_rear","oct_mean_flow_rear","nov_mean_flow_rear","dec_mean_flow_rear","sep_oct_Q10_flow_rear","jan_feb_max_flow_rear","ice_days_rear","sep_dec_max_flow_rear"
1918,48.1333338419596,9.64333327611287,10.1399999856949,34.1399998346965,86.9709673235493,92.8499998728434,24.1616129721365,6.62322578122539,4.07700003782908,6.85333335399628,6.32333334287008,5.7566667397817,3.6800000667572,NA,0,21.5,NA,NA,8.02333339055379,33.5538462125338,131.641667048136,103.284616323618,49.4615384615384,11.0790908553384,4.72272729873657,3.52903229190457,2.82999992370605,2.82999992370605,3.10999989509583,5.65999984741211,0,7.07999992370605
1958,7.59193554232197,8.30392861366272,10.7722580817438,23.3833332379659,120.929031864289,49.7433331171671,11.2777419551726,3.68709675727352,4.13299996058146,7.91354836956147,11.4756667137146,17.9516130878079,2.79999995231628,24,10,59.2000007629395,14.3551613130877,9.55035722255707,10.7999999753891,29.3400001525879,109.090322432979,135.943333180745,42.6193548325569,9.05741928469751,9.47999997138977,19.0400001464352,21.0333333015442,16.4748387029094,7.25,NA,0,69.4000015258789
1959,14.3551613130877,9.55035722255707,10.7999999753891,29.3400001525879,109.090322432979,135.943333180745,42.6193548325569,9.05741928469751,9.47999997138977,19.0400001464352,21.0333333015442,16.4748387029094,7.25,NA,0,69.4000015258789,NA,NA,18.6564704390133,44.1200002670288,72.670967471215,76.8666665395101,19.5722580571328,5.53838708323817,4.54666668574015,7.91161288753633,6.88966670036316,4.80806454535454,3.91000008583069,25,57,21.6000003814697
1961,5.53709682341545,14.5964285646166,11.4754838943481,30.1766667048136,108.390322777533,99.1466667811076,18.2625807023817,5.19935487162682,4.92766668796539,11.4635484449325,7.59933334986369,4.30709679665104,3.4300000667572,64,83,30,8.96000000738328,16.092500107629,8.13129034349995,31.1920000712077,67.1161289830362,84.0366675059001,28.1645162336288,9.75741941698136,7.51233334541321,10.5280000686645,15.4099999774586,NA,5.96999988555908,65.0999984741211,0,64.5999984741211
1964,15.5883870278635,11.8241378192244,10.3383872432094,20.4833333969116,73.5967744396579,146.779999796549,54.7612905194682,13.2322581814181,13.6200000762939,15.7548386358446,12.3333333333333,9.54225803190662,12.1999998092651,14.6000003814697,70,22.7000007629395,7.53419354654128,11.3400001185281,12.9225805959394,30.7333333969116,91.9677423046481,86.5166670481364,20.7764516953499,8.21129028258785,4.36399997870127,5.76000004429971,19.1656666596731,8.80870963681129,3.33999991416931,6.80000019073486,73,32.7999992370605
1965,7.53419354654128,11.3400001185281,12.9225805959394,30.7333333969116,91.9677423046481,86.5166670481364,20.7764516953499,8.21129028258785,4.36399997870127,5.76000004429971,19.1656666596731,8.80870963681129,3.33999991416931,6.80000019073486,73,32.7999992370605,6.23161295921572,4.63571434361594,8.57612903656498,36.0833333333333,80.3096773701329,78.8666662851969,31.8612901933732,9.89806449028753,4.70333335399628,9.23000001907349,9.26700005531311,15.549999883098,3.99000000953674,13.5,0,42.5
1966,6.23161295921572,4.63571434361594,8.57612903656498,36.0833333333333,80.3096773701329,78.8666662851969,31.8612901933732,9.89806449028753,4.70333335399628,9.23000001907349,9.26700005531311,15.549999883098,3.99000000953674,13.5,0,42.5,10.1774193856024,10.03928565979,8.6590322679089,12.0899999936422,87.1838709923529,131.976666768392,27.3838708939091,7.0103225784917,3.58299998442332,8.87419349147428,21.0903333028158,11.6141936394476,3.27999997138977,92.3000030517578,0,107
1967,10.1774193856024,10.03928565979,8.6590322679089,12.0899999936422,87.1838709923529,131.976666768392,27.3838708939091,7.0103225784917,3.58299998442332,8.87419349147428,21.0903333028158,11.6141936394476,3.27999997138977,92.3000030517578,0,107,25.0054839041925,23.5275863450149,32.2548387588993,22.2199998855591,112.474193696053,137.226666514079,44.4774192687004,10.1829033205586,8.49499999682108,10.7077418604205,12.8240000406901,8.62838713584408,6.90999984741211,15.8999996185303,80,24.3999996185303
1968,25.0054839041925,23.5275863450149,32.2548387588993,22.2199998855591,112.474193696053,137.226666514079,44.4774192687004,10.1829033205586,8.49499999682108,10.7077418604205,12.8240000406901,8.62838713584408,6.90999984741211,15.8999996185303,80,24.3999996185303,7.69806452720396,13.6092856270926,13.0370966388333,30.1200002034505,139.454838906565,72.3366664250692,22.4193549002371,7.10161292168402,7.27033329010009,10.1506451637514,10.6073333422343,7.45032253573018,4.90000009536743,5.46999979019165,60,16.5
1969,7.69806452720396,13.6092856270926,13.0370966388333,30.1200002034505,139.454838906565,72.3366664250692,22.4193549002371,7.10161292168402,7.27033329010009,10.1506451637514,10.6073333422343,7.45032253573018,4.90000009536743,5.46999979019165,60,16.5,4.38354838278986,4.76892857892173,7.6487097278718,13.0890000343323,70.7612901195403,72.636667060852,11.1564516559724,3.88903228698238,3.7609999815623,4.01096772378491,4.25933332443237,2.36193546941204,3.30999994277954,13.5,93,5.6399998664856
1970,4.38354838278986,4.76892857892173,7.6487097278718,13.0890000343323,70.7612901195403,72.636667060852,11.1564516559724,3.88903228698238,3.7609999815623,4.01096772378491,4.25933332443237,2.36193546941204,3.30999994277954,13.5,93,5.6399998664856,6.36064519420747,11.5071428503309,9.93935489654541,24.6800001780192,188.387096774194,130.689999898275,53.5258058117282,9.9987096786499,5.41500004132589,6.52838706970215,6.61833329200745,4.67193551986448,4.86999988555908,8.5,90,8.27000045776367
1971,6.36064519420747,11.5071428503309,9.93935489654541,24.6800001780192,188.387096774194,130.689999898275,53.5258058117282,9.9987096786499,5.41500004132589,6.52838706970215,6.61833329200745,4.67193551986448,4.86999988555908,8.5,90,8.27000045776367,3.6135483864815,6.12931038593424,32.9345161684098,34.1833335240682,166.732258212182,192,69.6096771609399,15.4893548411708,6.68600001335144,7.12451613333918,7.94700002670288,4.98225805836339,5.55000019073486,8.72000026702881,93,14.6999998092651
1972,3.6135483864815,6.12931038593424,32.9345161684098,34.1833335240682,166.732258212182,192,69.6096771609399,15.4893548411708,6.68600001335144,7.12451613333918,7.94700002670288,4.98225805836339,5.55000019073486,8.72000026702881,93,14.6999998092651,5.230645133603,6.79285713604518,6.17774197363084,11.9886666615804,62.1838710538803,47.8033331553141,14.3919356407658,4.05064516682779,2.87466666698456,6.43354840432444,6.20300000508626,6.0348387687437,2.75,19.7999992370605,35,24.1000003814697
1973,5.230645133603,6.79285713604518,6.17774197363084,11.9886666615804,62.1838710538803,47.8033331553141,14.3919356407658,4.05064516682779,2.87466666698456,6.43354840432444,6.20300000508626,6.0348387687437,2.75,19.7999992370605,35,24.1000003814697,8.94967738274605,10.1392857006618,15.4161291122436,45.006666692098,141.506451760569,213.366666666667,74.4580649099042,16.6367742169288,5.81200003623962,5.26290324426467,5.53733334541321,5.58000004676081,4.86999988555908,6.23000001907349,72,8.27000045776367
1974,8.94967738274605,10.1392857006618,15.4161291122436,45.006666692098,141.506451760569,213.366666666667,74.4580649099042,16.6367742169288,5.81200003623962,5.26290324426467,5.53733334541321,5.58000004676081,4.86999988555908,6.23000001907349,72,8.27000045776367,4.65580644915181,4.1735714503697,5.8764516076734,14.1370000203451,103.574193708358,163.106666819255,46.4516126571163,8.63967746303928,5.32566665013631,9.33935489962177,30.9266665458679,21.2493549777615,4.07999992370605,22.2999992370605,0,88.0999984741211
1975,4.65580644915181,4.1735714503697,5.8764516076734,14.1370000203451,103.574193708358,163.106666819255,46.4516126571163,8.63967746303928,5.32566665013631,9.33935489962177,30.9266665458679,21.2493549777615,4.07999992370605,22.2999992370605,0,88.0999984741211,14.0580645222818,12.0231033193654,8.42193551217356,19.088666566213,101.135483772524,93.0299994150798,54.1483871090797,25.0806452843451,19.5033333142598,7.24612905133155,7.47933332125346,7.50225800852622,6.03000020980835,13.8000001907349,21,29.2000007629395
1976,14.0580645222818,12.0231033193654,8.42193551217356,19.088666566213,101.135483772524,93.0299994150798,54.1483871090797,25.0806452843451,19.5033333142598,7.24612905133155,7.47933332125346,7.50225800852622,6.03000020980835,13.8000001907349,21,29.2000007629395,5.9574193339194,9.74071437971933,7.38129034349995,22.1609999338786,47.7548388819541,42.0933334350586,9.59806446875296,4.33225809374163,3.48833332856496,4.71903222607028,10.2993334054947,9.05677417016798,2.66000008583069,6.94000005722046,49,28.6000003814697
1977,5.9574193339194,9.74071437971933,7.38129034349995,22.1609999338786,47.7548388819541,42.0933334350586,9.59806446875296,4.33225809374163,3.48833332856496,4.71903222607028,10.2993334054947,9.05677417016798,2.66000008583069,6.94000005722046,49,28.6000003814697,5.60967742243121,4.75428575277328,14.5435483532567,37.2766667048136,99.3580644669071,105.710000228882,22.3887096066629,5.07290322549881,7.86900000572204,7.33774200562508,12.8483332951864,5.4551612946295,5.55000019073486,8.35000038146973,90,55.5
1978,5.60967742243121,4.75428575277328,14.5435483532567,37.2766667048136,99.3580644669071,105.710000228882,22.3887096066629,5.07290322549881,7.86900000572204,7.33774200562508,12.8483332951864,5.4551612946295,5.55000019073486,8.35000038146973,90,55.5,5.82193548448624,6.65821431364332,9.49774200685562,13.8356665929159,63.8903229005875,40.8066665649414,9.89032253142326,3.24677420431568,3.42699999014537,3.58806452443523,3.31166666348775,15.1806450043955,2.63000011444092,13.8999996185303,45,74.6999969482422
1979,5.82193548448624,6.65821431364332,9.49774200685562,13.8356665929159,63.8903229005875,40.8066665649414,9.89032253142326,3.24677420431568,3.42699999014537,3.58806452443523,3.31166666348775,15.1806450043955,2.63000011444092,13.8999996185303,45,74.6999969482422,5.64225808266671,6.02620687155888,9.28709679265176,36.9493335882823,77.0935486824282,61.0500000635783,16.092580610706,5.97741937637329,7.6100000222524,6.82838710661858,12.4123332977295,39.6061290925549,5.94999980926514,51.0999984741211,2,236
1980,5.64225808266671,6.02620687155888,9.28709679265176,36.9493335882823,77.0935486824282,61.0500000635783,16.092580610706,5.97741937637329,7.6100000222524,6.82838710661858,12.4123332977295,39.6061290925549,5.94999980926514,51.0999984741211,2,236,23.0387094559208,15.4989285128457,14.1612902302896,24.1633333206177,86.7064520312894,65.5866669972738,33.5677418247346,10.3009676010378,6.00066665013631,10.0680645050541,12.8696667671204,8.58000000061528,5.30999994277954,13.1000003814697,68,20.2999992370605
1981,23.0387094559208,15.4989285128457,14.1612902302896,24.1633333206177,86.7064520312894,65.5866669972738,33.5677418247346,10.3009676010378,6.00066665013631,10.0680645050541,12.8696667671204,8.58000000061528,5.30999994277954,13.1000003814697,68,20.2999992370605,7.693870898216,9.00714285033089,10.0338709738947,13.7046666781108,89.2516129401422,120.943333180745,51.1387096528084,13.7941935754591,7.4996666431427,9.00290319996495,7.81333336830139,7.62064521543441,7.03000020980835,16.6000003814697,16,16
1982,7.693870898216,9.00714285033089,10.0338709738947,13.7046666781108,89.2516129401422,120.943333180745,51.1387096528084,13.7941935754591,7.4996666431427,9.00290319996495,7.81333336830139,7.62064521543441,7.03000020980835,16.6000003814697,16,16,9.74000000184582,10.5196428980146,16.870967588117,33.7166666348775,118.319354887932,69.8266666412353,24.0419351823868,7.522903227037,7.28899997075399,6.99677416586107,13.9890000025431,6.66064517728744,6.26000022888184,156,47,26.8999996185303
1983,9.74000000184582,10.5196428980146,16.870967588117,33.7166666348775,118.319354887932,69.8266666412353,24.0419351823868,7.522903227037,7.28899997075399,6.99677416586107,13.9890000025431,6.66064517728744,6.26000022888184,156,47,26.8999996185303,26.9835482566587,9.85137929587529,10.9687096995692,15.7266668001811,36.2774192440894,105.953333536784,28.3425805184149,6.66290323195919,5.35166668891907,7.07225811866022,5.87866668701172,4.42774193517623,5,7.90000009536743,77,12
1984,26.9835482566587,9.85137929587529,10.9687096995692,15.7266668001811,36.2774192440894,105.953333536784,28.3425805184149,6.66290323195919,5.35166668891907,7.07225811866022,5.87866668701172,4.42774193517623,5,7.90000009536743,77,12,3.99290321719262,5.1182142836707,5.80290325226322,25.602666648229,82.6516129893641,64.9033334096273,10.8996774765753,3.1361290408719,3.9003333012263,7.4093548405555,6.14866669178009,2.44806453104942,3.03999996185303,84,93,19.8999996185303
1985,3.99290321719262,5.1182142836707,5.80290325226322,25.602666648229,82.6516129893641,64.9033334096273,10.8996774765753,3.1361290408719,3.9003333012263,7.4093548405555,6.14866669178009,2.44806453104942,3.03999996185303,84,93,19.8999996185303,5.7122580851278,11.7996428694044,27.7322580891271,28.4566666285197,73.829032036566,74.0500000635783,19.0774193425332,10.4380644367587,7.28599999745687,7.68129034965269,8.35300000508626,6.5964515901381,5.76999998092651,26,27,19.1000003814697
1986,5.7122580851278,11.7996428694044,27.7322580891271,28.4566666285197,73.829032036566,74.0500000635783,19.0774193425332,10.4380644367587,7.28599999745687,7.68129034965269,8.35300000508626,6.5964515901381,5.76999998092651,26,27,19.1000003814697,8.67516136938526,7.67214286327362,17.4258063377873,37.9133332888285,92.2870970695249,38.6966664632161,10.022580592863,4.00806448536534,3.54333334763845,3.16387101911729,3.33333334922791,2.75354837217639,3.13000011444092,3.45000004768372,78,4.48999977111816
1987,8.67516136938526,7.67214286327362,17.4258063377873,37.9133332888285,92.2870970695249,38.6966664632161,10.022580592863,4.00806448536534,3.54333334763845,3.16387101911729,3.33333334922791,2.75354837217639,3.13000011444092,3.45000004768372,78,4.48999977111816,1.92322579506905,2.9517241346425,4.33709676804081,30.0589997450511,59.0741934622488,41.9000001907349,12.121612856465,4.34129035088324,4.16899998188019,7.59645160551994,12.5863333384196,6.4622580851278,3.0699999332428,8.75,73,39.2999992370605
1988,1.92322579506905,2.9517241346425,4.33709676804081,30.0589997450511,59.0741934622488,41.9000001907349,12.121612856465,4.34129035088324,4.16899998188019,7.59645160551994,12.5863333384196,6.4622580851278,3.0699999332428,8.75,73,39.2999992370605,5.92548389588633,6.10214286191123,7.35225803621354,30.1473333040873,77.1838709923529,60.9166666666667,14.2464514701597,10.2458064171576,7.70399993260702,9.20645163136144,21.4700000127157,19.6258065315985,6.21999979019165,12.3000001907349,47,74.8000030517578
1989,5.92548389588633,6.10214286191123,7.35225803621354,30.1473333040873,77.1838709923529,60.9166666666667,14.2464514701597,10.2458064171576,7.70399993260702,9.20645163136144,21.4700000127157,19.6258065315985,6.21999979019165,12.3000001907349,47,74.8000030517578,8.57483876136041,5.52857140132359,8.61193550786664,42.5466667811076,59.8709676188807,96.5966669718425,29.2870967926518,6.96806449274863,6.39633331298828,16.8009676933289,53.5766666412354,17.6854839017314,5.34000015258789,111,49,226
1990,8.57483876136041,5.52857140132359,8.61193550786664,42.5466667811076,59.8709676188807,96.5966669718425,29.2870967926518,6.96806449274863,6.39633331298828,16.8009676933289,53.5766666412354,17.6854839017314,5.34000015258789,111,49,226,9.02193546295166,42.028571162905,17.8483870106359,41.6733332316081,109.377419256395,94.7600001017253,43.7838709738947,13.2061289510419,9.51233336130777,7.02870970387613,15.2443331877391,10.0754839066536,6.25,42.4000015258789,11,41.2000007629395
1991,9.02193546295166,42.028571162905,17.8483870106359,41.6733332316081,109.377419256395,94.7600001017253,43.7838709738947,13.2061289510419,9.51233336130777,7.02870970387613,15.2443331877391,10.0754839066536,6.25,42.4000015258789,11,41.2000007629395,10.2800000559899,18.5344829888179,30.0806450997629,47.5933336257935,51.1451615979595,25.4299999554952,11.9280645616593,5.07258062208852,4.80400001207987,7.73000000369164,8.24800003369649,5.42193548140987,4.26999998092651,6.55999994277954,98,15.5
1992,10.2800000559899,18.5344829888179,30.0806450997629,47.5933336257935,51.1451615979595,25.4299999554952,11.9280645616593,5.07258062208852,4.80400001207987,7.73000000369164,8.24800003369649,5.42193548140987,4.26999998092651,6.55999994277954,98,15.5,4.508709684495,5.15499998841967,8.67483872752036,19.1933333714803,81.432258113738,35.6466670354207,25.4258062301143,27.2677418493455,8.63333331743876,8.31387095297537,7.60800002415975,9.20774201423891,6.92999982833862,11.3999996185303,35,15.1999998092651
1993,4.508709684495,5.15499998841967,8.67483872752036,19.1933333714803,81.432258113738,35.6466670354207,25.4258062301143,27.2677418493455,8.63333331743876,8.31387095297537,7.60800002415975,9.20774201423891,6.92999982833862,11.3999996185303,35,15.1999998092651,9.49870977094097,8.24357143470219,18.3806451059157,60.283333269755,74.2903223345357,30.9199998855591,11.1583870303246,5.02967743719778,3.86433333555857,4.42548388050448,4.70499997933706,7.79451610196021,3.4300000667572,34,67,30.3999996185303
1994,9.49870977094097,8.24357143470219,18.3806451059157,60.283333269755,74.2903223345357,30.9199998855591,11.1583870303246,5.02967743719778,3.86433333555857,4.42548388050448,4.70499997933706,7.79451610196021,3.4300000667572,34,67,30.3999996185303,4.62741933330413,16.2625000306538,15.0129031212099,32.0033332824707,107.338709923529,61.8200003306071,17.6774194163661,8.85483872505927,4.664333375295,11.3232258673637,46.8069997787476,24.8025805565619,4.21999979019165,29,44,208
1995,4.62741933330413,16.2625000306538,15.0129031212099,32.0033332824707,107.338709923529,61.8200003306071,17.6774194163661,8.85483872505927,4.664333375295,11.3232258673637,46.8069997787476,24.8025805565619,4.21999979019165,29,44,208,17.1732257258508,15.8941378757871,26.7709676681026,65.4133334477742,73.2064519082346,88.1366661071777,25.4677419047202,8.43516132908483,5.23333336512248,6.85193544818509,12.2736666043599,7.27645163382253,4.90000009536743,18.2999992370605,45,27.7999992370605
1996,17.1732257258508,15.8941378757871,26.7709676681026,65.4133334477742,73.2064519082346,88.1366661071777,25.4677419047202,8.43516132908483,5.23333336512248,6.85193544818509,12.2736666043599,7.27645163382253,4.90000009536743,18.2999992370605,45,27.7999992370605,8.74999996923631,14.25,22.6096775916315,57.3366668065389,197.032258064516,116.549999491374,42.5354836986911,13.0354838217458,8.04466662406921,17.5129033673194,16.9899999300639,10.8332258655179,7.26999998092651,12.8000001907349,24,35.2000007629395
1997,8.74999996923631,14.25,22.6096775916315,57.3366668065389,197.032258064516,116.549999491374,42.5354836986911,13.0354838217458,8.04466662406921,17.5129033673194,16.9899999300639,10.8332258655179,7.26999998092651,12.8000001907349,24,35.2000007629395,9.19258065377512,8.81285723618099,12.2090323048253,30.9233332951864,118.903226052561,43.2266665140788,16.2051612177203,4.75451614779811,3.76333331267039,4.36000005660519,6.739333375295,8.61548386850665,3.35999989509583,13.8000001907349,19,35.7000007629395
1998,9.19258065377512,8.81285723618099,12.2090323048253,30.9233332951864,118.903226052561,43.2266665140788,16.2051612177203,4.75451614779811,3.76333331267039,4.36000005660519,6.739333375295,8.61548386850665,3.35999989509583,13.8000001907349,19,35.7000007629395,9.10419350285684,7.58821429525103,8.81419355638565,33.2333336194356,114.358064836071,143.076666768392,77.9903229744204,19.0206452031289,7.3773333867391,8.64451605273831,26.9173332214355,12.6867741615542,6.30999994277954,11.3000001907349,0,106
1999,9.10419350285684,7.58821429525103,8.81419355638565,33.2333336194356,114.358064836071,143.076666768392,77.9903229744204,19.0206452031289,7.3773333867391,8.64451605273831,26.9173332214355,12.6867741615542,6.30999994277954,11.3000001907349,0,106,8.98419360191591,7.91862065216591,7.60612903102752,33.6946668942769,71.5129036441926,72.1566663106283,27.4548387835103,9.92096773270637,7.21699997584025,9.47870972848707,9.73233319918315,5.86032258310626,5.78000020980835,6.69999980926514,79,27.5
2000,8.98419360191591,7.91862065216591,7.60612903102752,33.6946668942769,71.5129036441926,72.1566663106283,27.4548387835103,9.92096773270637,7.21699997584025,9.47870972848707,9.73233319918315,5.86032258310626,5.78000020980835,6.69999980926514,79,27.5,5.86322576768937,4.49035714353834,6.7541935366969,15.4483332951864,52.9064516867361,36.8000000635783,11.2196774328909,6.04677417201381,4.52999997138977,5.05193550355973,11.6286667029063,6.89193547156549,4.28999996185303,71.8000030517578,14,38.2000007629395
2001,5.86322576768937,4.49035714353834,6.7541935366969,15.4483332951864,52.9064516867361,36.8000000635783,11.2196774328909,6.04677417201381,4.52999997138977,5.05193550355973,11.6286667029063,6.89193547156549,4.28999996185303,71.8000030517578,14,38.2000007629395,18.1861291546975,6.5139285496303,7.036774235387,27.1896665414174,114.170967840379,134.269999949137,30.9258062301144,7.91096774993404,4.32500000794728,4.33870963896475,6.350000055631,5.43903224698959,3.90000009536743,20.2999992370605,22,14.3000001907349
2002,18.1861291546975,6.5139285496303,7.036774235387,27.1896665414174,114.170967840379,134.269999949137,30.9258062301144,7.91096774993404,4.32500000794728,4.33870963896475,6.350000055631,5.43903224698959,3.90000009536743,20.2999992370605,22,14.3000001907349,6.33774186718848,7.60035714932851,10.8338709800474,28.4066666603088,56.2612905194682,48.4333334604899,9.42258064208492,3.4758064516129,3.05900001525879,24.8074194077523,8.55100005467733,6.19387100588891,2.75,8.89000034332275,61,180
2003,6.33774186718848,7.60035714932851,10.8338709800474,28.4066666603088,56.2612905194682,48.4333334604899,9.42258064208492,3.4758064516129,3.05900001525879,24.8074194077523,8.55100005467733,6.19387100588891,2.75,8.89000034332275,61,180,5.49354837786767,6.68586209724689,13.485483923266,41.6000001907349,55.8096771240234,34.9733330726624,7.28032253634545,4.29709679080594,6.60733334223429,6.71387097143358,14.9386664867401,21.8703226581696,4.59000015258789,74.0999984741211,25,96.8000030517578
2004,5.49354837786767,6.68586209724689,13.485483923266,41.6000001907349,55.8096771240234,34.9733330726624,7.28032253634545,4.29709679080594,6.60733334223429,6.71387097143358,14.9386664867401,21.8703226581696,4.59000015258789,74.0999984741211,25,96.8000030517578,21.1580644115325,21.1321427481515,19.2741935483871,31.5966669718425,48.1096774685767,22.6233333587647,13.0254838389735,4.01096770840306,3.90066668192546,8.86290325657014,9.75366667111714,13.4709678311502,3.05999994277954,24.7000007629395,47,50
2005,21.1580644115325,21.1321427481515,19.2741935483871,31.5966669718425,48.1096774685767,22.6233333587647,13.0254838389735,4.01096770840306,3.90066668192546,8.86290325657014,9.75366667111714,13.4709678311502,3.05999994277954,24.7000007629395,47,50,13.901290370572,6.70392855576106,8.82838716814594,23.8693332672119,94.2419351147067,67.466667175293,11.3906452271246,4.44290322642173,3.97799998919169,4.47967745411781,33.0036667664846,8.2258064516129,3.09999990463257,16,72,156
2006,13.901290370572,6.70392855576106,8.82838716814594,23.8693332672119,94.2419351147067,67.466667175293,11.3906452271246,4.44290322642173,3.97799998919169,4.47967745411781,33.0036667664846,8.2258064516129,3.09999990463257,16,72,156,9.64516127494073,11.6214285237448,48.4312900112521,53.5800000508626,84.4258068453881,67.1500002543131,24.6429032356508,6.86967742058539,4.86100002129873,12.4590323048253,11.2400000254313,19.9193547310368,4.23999977111816,9,93,116
2007,9.64516127494073,11.6214285237448,48.4312900112521,53.5800000508626,84.4258068453881,67.1500002543131,24.6429032356508,6.86967742058539,4.86100002129873,12.4590323048253,11.2400000254313,19.9193547310368,4.23999977111816,9,93,116,5.66451612595589,7.24379309292497,7.9751613063197,10.7753333886464,109.896774045883,71.610000483195,19.1751612386396,7.59967743965887,5.49433329900106,7.26064520497476,11.8719999631246,5.75000003076369,4.38000011444092,5.59999990463257,93,23.5
2008,5.66451612595589,7.24379309292497,7.9751613063197,10.7753333886464,109.896774045883,71.610000483195,19.1751612386396,7.59967743965887,5.49433329900106,7.26064520497476,11.8719999631246,5.75000003076369,4.38000011444092,5.59999990463257,93,23.5,4.80935483594095,4.41892857210977,4.91322583536948,9.51566664377848,42.2741936099145,34.9900001207987,7.49709673850767,4.04774192840822,3.15166665712992,6.1564516252087,20.0979999860128,9.20322584336804,2.5699999332428,20.7999992370605,41,43
2009,4.80935483594095,4.41892857210977,4.91322583536948,9.51566664377848,42.2741936099145,34.9900001207987,7.49709673850767,4.04774192840822,3.15166665712992,6.1564516252087,20.0979999860128,9.20322584336804,2.5699999332428,20.7999992370605,41,43,11.6709677480882,8.73500001430511,11.5841935373122,39.2099999745687,99.8580644669071,110.186666997274,29.6354838032876,8.89709681849325,9.11566664377848,8.98903229928786,11.5383332888285,7.98387098312378,5.94000005722046,16.3999996185303,92,20.8999996185303
2010,11.6709677480882,8.73500001430511,11.5841935373122,39.2099999745687,99.8580644669071,110.186666997274,29.6354838032876,8.89709681849325,9.11566664377848,8.98903229928786,11.5383332888285,7.98387098312378,5.94000005722046,16.3999996185303,92,20.8999996185303,9.66612901995259,8.60749999114445,8.90741942005772,13.910000038147,119.106451526765,150.773333231608,49.7387099112234,13.7422578719354,6.4853333791097,9.77354846462127,8.8900000333786,9.23612897626816,4.53000020980835,18.7999992370605,30,31
2011,9.66612901995259,8.60749999114445,8.90741942005772,13.910000038147,119.106451526765,150.773333231608,49.7387099112234,13.7422578719354,6.4853333791097,9.77354846462127,8.8900000333786,9.23612897626816,4.53000020980835,18.7999992370605,30,31,10.1864515043074,8.19931035206236,7.63645165966403,46.8329999605815,115.890322531423,107.716666666667,50.1548383774296,10.596774132021,6.03466668128967,7.61193546172111,18.5370000203451,5.83193548264042,4.03000020980835,6.46999979019165,93,48.4000015258789
2012,10.1864515043074,8.19931035206236,7.63645165966403,46.8329999605815,115.890322531423,107.716666666667,50.1548383774296,10.596774132021,6.03466668128967,7.61193546172111,18.5370000203451,5.83193548264042,4.03000020980835,6.46999979019165,93,48.4000015258789,5.0048386819901,5.77357142312186,13.3180645050541,49.2333335240682,136.558064368463,75.9166670481364,27.9709677850046,6.80419355823148,6.35133333206177,10.2851612644811,6.16966665585836,4.73709677111718,5.30000019073486,8.36999988555908,116,18.2000007629395
2013,5.0048386819901,5.77357142312186,13.3180645050541,49.2333335240682,136.558064368463,75.9166670481364,27.9709677850046,6.80419355823148,6.35133333206177,10.2851612644811,6.16966665585836,4.73709677111718,5.30000019073486,8.36999988555908,116,18.2000007629395,6.19129034780687,6.69500000136239,10.5912902893559,26.3599999745687,115.664516202865,67.2899997075399,15.3048387958157,6.62000002399568,4.34033332665761,7.71709674404514,12.3113334019979,15.4083871226157,3.85999989509583,NA,35,40.9000015258789
2014,6.19129034780687,6.69500000136239,10.5912902893559,26.3599999745687,115.664516202865,67.2899997075399,15.3048387958157,6.62000002399568,4.34033332665761,7.71709674404514,12.3113334019979,15.4083871226157,3.85999989509583,NA,35,40.9000015258789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
